idnumber,CNweight,current_democracy,previous_democracy,future_democracy,democracy_fit,national_interest,family_interest,year_schooling,region,gender,education,education_num,occupation,age,vote,election_freefair,secure_feeling,pol_interest,pol_news,internet_use,pol_discuss,contact_highest,contact_high_official,contact_com_leader,contact_influent_non_official,contact_media,oi_gov_resp_voters,oi_gov_employee,oi_media_freedom,oi_individualism,oi_election_necc,oi_multiparty,trust_court,trust_nat_gov,trust_party,trust_local_gov,local_part,petition,protest,regime_capability,system_proud,qg_people_power,qg_equality,qg_speech_freedom,qg_gathering_freedom,qg_responsiveness,local_corruption,defend_system,current_china_influence,future_china_influence
2,1.1343538453772095,8,6,10,8,2,3,13,urban,Female,Complete secondary/high school,7,Not employed,20,Not applicable,NA,3,3,4,5,1,0,2,0,0,0,1,1,1,1,1,1,3,3,3,3,0,0,0,3,3,3,3,3,2,3,3,3,1,1
3,0.9283729259234262,8,8,10,8,3,3,8,urban,Female,Complete secondary/high school: technical/vocational type,5,Working in family business,42,Yes,2,3,2,3,1,1,0,0,0,0,0,-1,-1,-1,1,1,-1,3,3,3,3,1,0,0,NA,NA,3,3,3,2,3,3,3,0,NA
5,1.1343538453772095,10,NA,10,9,2,3,8,urban,Female,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,25,No,NA,3,2,2,1,1,0,0,0,0,0,1,1,1,1,1,NA,3,3,2,2,0,0,0,3,3,3,2,2,2,2,3,2,1,1
7,1.0161151775589086,9,7,10,10,3,3,15,urban,Male,Complete secondary/high school,7,Not employed,23,Not applicable,NA,3,3,4,5,2,0,0,0,0,0,1,1,1,1,1,1,3,4,4,3,0,0,0,3,3,3,3,3,2,3,2,3,0,1
8,1.1343538453772095,NA,NA,NA,4,3,3,13,urban,Female,Complete secondary/high school,7,Working in family business,25,Not applicable,NA,3,2,1,1,1,0,0,0,0,0,NA,NA,-1,-1,1,-1,4,4,4,NA,0,0,0,3,3,3,2,3,2,3,2,NA,0,0
10,0.7907724910902311,8,8,10,8,3,3,6,rural,Male,Complete primary/elementary,3,Peasant/farmer,62,Yes,4,3,2,4,0,1,0,0,0,0,0,1,1,-1,1,-1,-1,4,4,4,3,0,0,0,3,3,3,3,3,3,3,3,3,NA,NA
11,1.0728298864528265,10,8,10,10,3,3,9,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Working in family business,32,Not applicable,NA,3,2,1,1,0,0,0,0,0,0,1,1,1,1,1,-1,3,4,4,4,0,0,0,NA,NA,2,3,3,2,4,2,2,0,0
12,0.7907724910902311,10,7,10,8,3,3,6,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Peasant/farmer,66,Yes,5,3,3,4,0,2,0,2,0,0,0,-1,-1,-2,2,1,-2,3,4,4,3,0,0,0,3,4,3,3,3,2,4,2,4,1,1
13,1.0728298864528265,5,3,10,6,2,3,10,rural,Male,Complete secondary/high school,7,Working in family business,38,Not applicable,NA,3,2,1,5,1,1,1,0,0,0,1,1,1,1,1,1,3,3,3,3,1,1,0,3,3,3,2,2,2,3,2,3,0,1
14,0.7907724910902311,NA,NA,NA,8,3,3,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,60,Not applicable,NA,3,2,4,0,1,2,2,0,0,0,1,-1,-1,1,1,-1,3,4,4,4,0,0,0,3,3,3,3,3,3,3,3,NA,NA,NA
15,0.7907724910902311,10,6,10,8,3,2,1,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,79,Not applicable,NA,3,2,1,0,0,1,2,0,0,0,1,-1,1,1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,4,NA,NA,NA,NA
16,1.19766807347271,9,8,10,9,2,3,8,rural,Female,Complete secondary/high school: technical/vocational type,5,Working in family business,31,Yes,5,3,2,1,5,0,0,0,1,0,0,-1,-1,1,1,-1,1,3,4,4,3,0,0,0,3,3,2,3,3,2,4,2,3,1,1
17,0.8316045511811848,9,6,10,8,3,3,12,urban,Male,Complete secondary/high school,7,Working in family business,49,Not applicable,NA,3,3,4,4,1,0,0,0,0,0,1,1,-1,1,1,-1,3,3,3,3,0,0,0,2,3,3,2,3,2,3,2,3,1,1
18,0.7872015315258817,8,5,9,7,3,3,11,rural,Male,Complete secondary/high school,7,Working for an outside employer,42,Yes,4,4,3,4,5,1,1,1,0,0,0,-1,1,-1,1,1,-1,3,4,4,3,0,0,0,3,3,3,2,3,2,4,2,3,1,1
19,0.7872015315258817,8,5,10,8,3,3,0,rural,Male,Incomplete primary/elementary,2,Working for an outside employer,45,Yes,4,3,2,4,0,0,0,1,1,1,0,1,1,-1,1,-1,-1,4,4,4,4,1,0,0,3,3,3,3,3,2,3,2,3,1,1
