"","pre_vote_intention","pre_vote_preference","pre_feel_clinton","pre_feel_trump","pre_feel_dem","pre_feel_rep","pre_ideo_self","pre_guaranteed_job","pre_birthright_citizenship","pre_help_blacks","pre_wall_mexico","pre_enviroment","pre_troops_isis","pre_syrian_refugee","pre_climate","pre_paid_leave","post_equal_pay","post_vaccine","post_freetrade","post_bank_regulation","post_healthcare","post_feel_clinton","post_feel_trump","post_feel_christian_fundamentalists","post_feel_feminists","post_feel_liberals","post_feel_labor_unions","post_feel_poor_people","post_feel_big_business","post_feel_conservatives","post_feel_the_u.s._supreme_court","post_feel_gay_men_and_lesbians","post_feel_congress","post_feel_rich_people","post_feel_muslims","post_feel_christians","post_feel_jews","post_feel_tea_party","post_feel_police","post_feel_transgender_people","post_feel_scientists","post_feel_black_lives_matter","pre_budget_sec","pre_budget_school","pre_budget_sci","pre_budget_crime","pre_budget_welfare","pre_budget_childcare","pre_budget_poverty","pre_budget_env","religion_importance","age","edu_num","race","gender","income_group","weight"
"1","Yes","Trump",0,85,0,70,6,7,4,1,7,6,1,7,6,2,2,4,2,2,4,15,85,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15,1,1,1,1,-1,1,1,1,1,29,9,"White, non-Hispanic","Male",13,0.842
"2","Yes","Trump",0,85,15,85,5,4,1,1,7,2,2,7,1,1,1,1,4,4,2,50,60,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50,0,1,1,0,-1,1,0,1,0,26,13,"White, non-Hispanic","Male",17,1.013
"3",NA,NA,50,60,50,50,NA,7,7,6,7,99,4,7,4,2,1,5,6,2,2,50,70,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30,1,1,1,1,-1,1,1,0,0,23,9,"White, non-Hispanic","Male",6,0.367
"4",NA,NA,0,60,30,70,6,5,4,4,5,5,1,6,4,4,2,4,4,4,6,15,60,60,50,50,40,50,40,50,50,50,50,50,50,85,50,50,70,50,50,50,1,1,0,1,0,1,0,1,1,58,9,"White, non-Hispanic","Male",20,0.366
"5","Yes",NA,15,0,70,40,4,7,6,7,7,1,7,4,1,1,1,2,4,4,7,30,15,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15,0,1,1,1,-1,1,-1,1,1,38,9,"White, non-Hispanic","Female",3,0.646
"6",NA,NA,0,50,15,30,7,7,2,1,5,6,1,4,7,2,2,1,1,6,NA,0,65,50,50,15,2,50,70,50,30,50,0,50,50,50,50,75,85,50,50,0,0,-1,1,0,-1,0,-1,0,1,60,14,"White, non-Hispanic","Male",1,0.688
"7","Yes","Clinton",85,0,85,15,NA,1,4,7,1,99,4,6,1,4,1,7,4,1,1,85,50,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100,1,1,1,1,0,1,1,1,1,58,5,"Black, non-Hispanic","Male",22,4.615
"8","Yes","Trump",15,85,0,40,4,7,1,1,7,2,2,7,6,1,1,3,2,4,5,15,85,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15,1,1,-1,1,-1,1,-1,-1,1,56,9,"White, non-Hispanic","Female",28,0.942
"9",NA,NA,15,60,15,60,5,7,7,1,7,99,2,7,4,1,2,3,4,2,4,0,70,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15,1,1,1,1,0,0,0,-1,0,45,9,"Other","Male",12,1.009
"10",NA,NA,60,50,50,50,2,4,4,7,4,3,1,3,2,1,1,1,4,4,3,50,60,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50,0,1,0,1,0,1,1,1,1,30,10,"White, non-Hispanic","Female",19,0.6
"11","Yes",NA,40,30,40,70,5,3,7,7,2,2,5,4,4,2,2,2,2,2,3,40,40,40,50,70,70,100,50,70,60,50,40,85,70,70,70,40,50,85,85,70,0,1,1,1,0,1,0,-1,1,30,13,"Hispanic","Male",24,0.892
"12","Yes","Trump",0,85,15,50,6,5,1,1,4,5,1,7,4,1,1,1,1,2,4,0,100,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0,1,1,1,1,-1,0,1,-1,1,67,12,"White, non-Hispanic","Male",14,1.192
"13","Yes","Clinton",85,0,85,30,3,4,7,7,2,2,3,2,1,1,1,1,4,4,2,70,15,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85,0,1,1,1,0,1,1,1,1,62,14,"White, non-Hispanic","Female",10,0.318
"14",NA,NA,50,60,60,50,NA,99,1,7,7,1,1,NA,2,1,1,4,4,2,1,0,70,50,15,50,50,60,50,50,50,60,50,60,50,85,70,50,60,15,70,50,1,1,1,1,1,1,1,1,1,51,9,"White, non-Hispanic","Male",3,0.955
"15","Yes","Clinton",85,0,70,15,2,3,6,7,3,2,3,1,1,1,1,1,1,4,2,85,15,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85,0,1,1,0,1,1,1,1,0,46,14,"Hispanic","Male",27,0.814
"16","Yes","Trump",40,100,30,70,6,5,1,1,6,2,7,6,6,6,1,1,6,4,4,40,100,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70,-1,-1,1,1,-1,-1,-1,1,0,70,13,"White, non-Hispanic","Male",16,0.257
"17","Yes","Clinton",85,0,70,15,3,2,6,7,2,2,3,1,1,1,1,1,2,4,2,85,0,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100,-1,1,1,1,1,1,1,1,0,30,14,"White, non-Hispanic","Female",26,1.685
"18","Yes",NA,15,15,40,60,6,5,4,7,4,2,4,6,4,1,1,2,4,2,4,30,40,50,50,40,60,100,40,50,70,50,60,60,50,85,100,60,85,50,85,70,1,1,1,1,-1,0,1,1,1,67,10,"White, non-Hispanic","Female",22,1.436
"19",NA,NA,0,85,15,70,5,7,4,4,7,1,6,6,6,1,2,5,4,2,4,0,70,60,50,60,85,100,50,85,85,50,60,60,40,85,50,85,70,50,50,40,1,1,1,1,-1,1,-1,0,1,66,9,"White, non-Hispanic","Female",20,0.863
"20","Yes","Trump",10,90,40,80,3,5,6,1,7,2,6,7,4,1,1,1,3,2,4,5,95,10,40,70,75,50,40,60,90,100,60,90,40,50,90,40,100,90,90,10,1,1,1,1,-1,1,-1,1,0,32,12,"White, non-Hispanic","Female",3,0.512
"21","Yes","Clinton",60,0,50,15,NA,99,4,7,99,1,7,5,4,2,1,2,NA,2,6,60,0,NA,50,60,50,85,15,40,50,70,40,15,50,100,70,50,100,70,85,85,1,1,1,1,-1,1,1,1,0,56,10,"White, non-Hispanic","Female",NA,2.736
"22","Yes",NA,30,60,40,60,6,5,6,6,6,2,3,5,4,2,1,2,4,5,3,15,60,70,40,40,40,60,60,70,60,40,40,70,60,85,85,40,85,30,60,40,1,1,1,1,-1,0,1,1,1,65,14,"White, non-Hispanic","Female",15,0.516
"23","Yes","Trump",0,60,15,40,6,5,6,2,7,4,2,7,4,2,2,4,2,4,2,0,60,100,50,15,50,100,85,100,60,50,60,85,50,100,100,70,85,0,85,15,0,1,0,1,-1,1,0,0,1,61,8,"Other","Male",13,1.195
"24",NA,NA,0,70,50,50,NA,4,7,1,7,4,7,7,2,1,1,4,2,4,1,0,85,NA,50,50,70,100,60,NA,50,50,50,60,0,60,50,85,100,50,70,50,1,1,1,0,-1,1,-1,1,0,34,7,"Native American or Alaska Native, non-Hispanic","Male",9,0.856
"25",NA,NA,15,40,50,60,2,5,6,7,5,3,1,6,7,1,1,1,6,4,1,30,60,60,60,70,50,70,60,40,50,85,40,70,85,85,85,NA,85,70,50,70,0,1,0,1,0,1,1,0,1,68,13,"White, non-Hispanic",NA,NA,0.221
"26","Yes",NA,40,70,50,50,4,5,6,4,99,3,4,6,4,1,1,1,4,3,2,15,70,85,50,50,50,100,60,50,40,100,60,100,50,85,100,50,100,100,100,50,1,1,1,1,-1,1,1,1,1,25,9,"White, non-Hispanic","Female",17,0.955
"27","Yes","Clinton",85,0,85,15,1,2,7,7,2,1,5,1,1,2,1,1,1,1,1,85,0,30,100,100,85,100,70,0,60,100,15,50,85,60,100,0,85,85,100,85,1,1,0,1,1,0,1,1,1,73,14,"White, non-Hispanic","Male",17,0.95
"28",NA,NA,40,40,30,50,6,4,2,1,5,99,1,6,4,1,1,1,4,6,2,30,60,85,60,40,60,60,40,70,60,40,60,50,60,100,70,50,100,15,70,50,1,1,1,1,-1,0,1,0,1,67,9,"White, non-Hispanic","Female",22,1.926
"29","Yes",NA,40,60,70,70,2,5,7,4,4,99,4,4,2,1,1,1,4,2,7,40,60,15,70,60,70,100,40,40,85,100,70,85,100,85,100,50,85,100,70,85,1,0,1,1,-1,0,0,0,0,35,14,"White, non-Hispanic","Female",22,0.936
"30","Yes","Trump",0,100,0,85,6,5,4,1,4,7,2,6,7,4,1,2,6,5,5,0,100,85,60,60,50,85,85,85,70,70,70,85,70,70,85,70,100,50,50,50,1,1,1,1,0,0,0,-1,1,73,10,"White, non-Hispanic","Female",NA,0.989
