;X;constituency_num;constituency_name;state_num;state_name;union;spd;leftist;greens;fdp;afd;others;all_votes
1;1;1;Flensburg – Schleswig;1;Schleswig-Holstein;58320;40388;14002;22304;18955;11653;4843;170465
2;2;2;Nordfriesland – Dithmarschen Nord;1;Schleswig-Holstein;52928;31120;8589;15144;18050;9030;3210;138071
3;3;3;Steinburg – Dithmarschen Sued;1;Schleswig-Holstein;47366;29756;8732;12960;17298;11180;3586;130878
4;4;4;Rendsburg-Eckernfoerde;1;Schleswig-Holstein;56585;35766;9962;19337;19071;11578;3968;156267
5;5;5;Kiel;1;Schleswig-Holstein;40736;36208;15546;26143;17804;10504;5128;152069
6;6;6;Ploen – Neumuenster;1;Schleswig-Holstein;43778;31013;8503;16350;16481;11161;3228;130514
7;7;7;Pinneberg;1;Schleswig-Holstein;63863;42729;13111;21336;24735;15977;4621;186372
8;8;8;Segeberg – Stormarn-Mitte;1;Schleswig-Holstein;66367;43027;13237;21010;26043;17166;5095;191945
9;9;9;Ostholstein – Stormarn-Nord;1;Schleswig-Holstein;48898;33764;8303;13493;18147;11782;2908;137295
10;10;10;Herzogtum Lauenburg – Stormarn-Sued;1;Schleswig-Holstein;66031;42815;12480;20826;26163;18792;4864;191971
11;11;11;Luebeck;1;Schleswig-Holstein;38263;32919;12213;16568;14097;11539;4195;129794
12;12;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;Mecklenburg-Vorpommern;51083;28947;25929;6606;9879;25692;7275;155411
13;13;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;Mecklenburg-Vorpommern;48841;25029;24409;5521;9008;25688;6615;145111
14;14;14;Rostock – Landkreis Rostock II;13;Mecklenburg-Vorpommern;49433;25650;33575;10229;10661;25171;7603;162322
15;15;15;Vorpommern-Ruegen – Vorpommern-Greifswald I;13;Mecklenburg-Vorpommern;55110;20405;30107;8498;11490;32881;8921;167412
16;16;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II;13;Mecklenburg-Vorpommern;51789;19064;27246;4068;8659;35595;8392;154813
17;17;17;Mecklenburgische Seenplatte II – Landkreis Rostock III;13;Mecklenburg-Vorpommern;51007;20594;24102;4592;8198;27382;6566;142441
18;18;18;Hamburg-Mitte;2;Hamburg;40909;41551;26109;25164;16255;13940;10365;174293
19;19;19;Hamburg-Altona;2;Hamburg;36139;29680;22766;26036;16306;8028;6271;145226
20;20;20;Hamburg-Eimsbuettel;2;Hamburg;41826;34575;19290;26372;17463;9138;6539;155203
21;21;21;Hamburg-Nord;2;Hamburg;55737;38150;16720;25584;24652;10963;6068;177874
22;22;22;Hamburg-Wandsbek;2;Hamburg;49482;45542;16847;17773;17621;16732;7304;171301
